 
Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
238,Max Strus,28,CLE,SF,21,8,24.2,2.9,6.9,.424,2.0,5.4,.377,0.9,1.4,.600,.573,0.2,0.3,.714,0.8,3.3,4.1,3.1,0.6,0.4,1.0,1.9,8.1,,strusma01
239,Peyton Watson,22,DEN,SF,48,12,24.1,2.9,6.2,.471,0.7,2.0,.340,2.3,4.2,.532,.525,1.6,2.1,.752,0.8,2.6,3.4,1.5,0.9,1.2,0.9,1.7,8.1,,watsope01
240,Trayce Jackson-Davis,24,GSW,C,46,37,19.5,3.4,6.0,.568,0.0,0.0,.000,3.4,6.0,.570,.568,1.1,1.9,.605,2.3,3.8,6.2,2.1,0.5,0.7,0.8,1.4,8.0,,jackstr02
241,Kevin Huerter,26,SAC,SG,43,15,20.9,3.0,7.2,.413,1.4,4.8,.302,1.5,2.4,.629,.513,0.5,0.7,.714,0.4,2.3,2.8,1.7,0.8,0.4,0.9,1.6,7.9,,huertke01
242,Jay Huff,26,MEM,C,43,1,13.1,2.8,5.3,.524,1.5,3.5,.417,1.3,1.8,.737,.663,0.9,1.1,.771,0.5,1.7,2.3,0.7,0.3,0.9,0.7,1.4,7.9,,huffja01
243,Garrison Mathews,28,ATL,SG,41,2,18.3,2.2,5.6,.394,1.9,4.8,.393,0.3,0.9,.400,.561,1.5,1.9,.829,0.3,1.6,1.9,1.3,0.6,0.3,0.7,1.8,7.9,,mathega01
244,Day'Ron Sharpe,23,BRK,C,27,0,17.3,3.1,6.4,.494,0.2,1.1,.172,3.0,5.3,.559,.509,1.4,1.9,.760,2.9,3.3,6.2,1.4,0.7,0.5,1.1,2.0,7.9,,sharpda01
245,Brandon Clarke,28,MEM,PF,46,18,18.8,3.5,5.7,.615,0.0,0.3,.063,3.5,5.3,.650,.616,0.8,1.2,.679,1.8,3.2,5.0,1.0,0.9,0.5,0.6,2.5,7.8,,clarkbr01
246,A.J. Green,25,MIL,SG,41,5,21.8,2.6,5.9,.444,2.2,5.1,.435,0.4,0.8,.500,.633,0.3,0.4,.867,0.3,2.0,2.3,1.3,0.5,0.1,0.6,2.1,7.8,,greenaj01
247,Al Horford,38,BOS,C,38,25,26.3,2.9,7.0,.410,1.7,4.9,.351,1.1,2.1,.551,.534,0.4,0.4,.875,1.1,4.1,5.1,1.9,0.6,0.9,0.7,1.4,7.8,,horfoal01
